ticker,cik,year_new,filing_date,risk_update_intensity,vagueness_ratio,risk_financing,risk_regulatory,beta,car_d-3,car_d-2,car_d-1,car_d+0,car_d+1,car_d+2,car_d+3
SCHW,316709,2019,2019-02-22,0,,0,0,1.154665616480113,0.012725059948985507,-0.0023268323603748784,-0.013621565258403906,-0.010790642425202533,-0.015479535522202834,-0.0014574769466183333,-0.0014825949383775777
SCHW,316709,2020,2020-02-26,0,,0,0,1.9575451283309597,-0.029787480131596784,-0.01911173624863406,-0.011392025438779246,-0.004910958864262272,0.08740005391781022,0.07671009046246804,0.028244302217388495
SCHW,316709,2021,2021-02-24,2,0.0,1,1,0.9857002885942692,-0.005938416672395163,0.017438279225120788,0.011323577908834266,0.02549976696203184,0.028002896854972373,0.006993531078641559,0.01821329434534011
SCHW,316709,2022,2022-02-24,11,0.4285714285714285,3,1,1.0631536576089327,0.0015218756837051513,-0.0012147031865346542,-0.00841731103872936,-0.03144112152752999,-0.015193316954630963,-0.03238237608307987,-0.0970834762836666
SCHW,316709,2023,2023-02-24,0,,0,0,0.6446279594767024,0.006987566507202365,0.007660268018792189,-0.009325302431631363,0.0168945299768394,-0.019967734904152122,-0.01876376094035267,-0.024242968876178304
ABT,1800,2016,2016-02-19,0,,0,0,1.0842270249648693,0.0045907563992498256,-0.0023224414168607696,-0.0008085450303047092,0.00578713852119075,0.007230498037796871,0.0009516775438362908,0.017271885927664217
ABT,1800,2017,2017-02-17,2,0.7272727272727273,1,1,1.0191191426414266,0.006467162461166775,0.010083060336528343,0.016377361356873562,0.026001417958755643,0.027713699593767106,0.029962368994006623,0.040028131267568476
ABT,1800,2018,2018-02-16,0,,0,0,0.746627043916077,0.0005436922384782087,-0.0003756945815414055,0.01096145649116623,0.0206483685237082,0.006590590279423825,0.006381153192577227,0.00491831265466269
ABT,1800,2019,2019-02-22,0,,0,0,1.1055977462331807,-0.007488442328745905,-0.004182907611918448,-0.007137907204082084,-0.0025694300817004434,0.003954302944801901,0.002610095145815042,0.006740797452108056
ABT,1800,2020,2020-02-21,0,1.0,0,0,1.0977773770338217,-0.005806432734210318,-0.005331333725032548,-0.011785233390400544,-0.011697602601780531,-0.008319705062350429,-0.016559131052065565,-0.007042134058132164
ABT,1800,2021,2021-02-19,0,,0,0,0.5700100591821683,-0.0017192372215783795,-0.0071974921608953316,-0.018547334439220707,-0.03971940035847289,-0.03892444184564165,-0.053195047467810064,-0.047277379634490156
ABT,1800,2022,2022-02-18,0,,0,0,0.5129898706240873,0.00011210861012820802,-0.003087876159758137,-0.017879468187307273,-0.045676175120473346,-0.03436971781374585,-0.027932409791949598,-0.02426780977093092
ABT,1800,2023,2023-02-17,0,,0,0,0.8079264000864891,-0.013008698295224093,-0.01704329143235038,-0.018602026071994245,-0.01064781749328328,-0.023706506679456677,-0.03311553490734688,-0.039051383954910875
BAC,70858,2016,2016-02-24,4,0.5,0,4,1.4109304327446264,-0.007575989104192431,0.0071267370212392475,-0.005457718141290792,-0.013842079913158813,-0.012675309646546904,0.01885448300682993,0.014081182012837574
BAC,70858,2017,2017-02-23,7,0.3636363636363636,0,1,1.3248828926750618,-0.007385137623868646,-0.006906892240989459,-0.006623131252628205,-0.0163166728309726,-0.0335787302604624,-0.02461673175913518,-0.016409861084660197
BAC,70858,2018,2018-02-22,5,0.6666666666666666,1,3,1.2642687512533402,-0.00953125913130805,-0.004451338260527628,-0.002376242642103485,-0.009916125729474787,-0.01933125677869056,-0.02141168825331953,-0.00993106658093192
BAC,70858,2019,2019-02-26,2,0.3333333333333333,0,2,1.0030801112775432,-0.0005015043330366975,-0.014024504847832348,-0.008816067844904954,-0.006598849444725283,0.001124211813010579,-0.006160454758142953,-0.0043105528003342854
BAC,70858,2020,2020-02-19,3,0.6666666666666666,1,2,1.4304981880948286,0.0003369151067697542,-0.004239571878095209,-0.01858454339306641,-0.013344953501837075,-0.00635879621266569,-0.0068985094420329586,-0.00938774698076875
