ticker,permno,year,annual_ret,trading_days
SCHW,75186,2022,0.0010285518956199583,251
SCHW,75186,2023,-0.15964130716715785,250
SCHW,75186,2024,0.0916239070525411,252
TJX,40539,2014,0.08836166630262658,252
TJX,40539,2015,0.04610693243482796,252
TJX,40539,2016,0.07353302892533498,252
TJX,40539,2017,0.03447934859604482,251
TJX,40539,2018,0.18948659035849605,251
TJX,40539,2019,0.3877297059240022,252
TJX,40539,2020,0.12247372804607898,253
TJX,40539,2021,0.1283752433179332,252
TJX,40539,2022,0.06735311993799821,251
TJX,40539,2023,0.19685491097111465,250
TJX,40539,2024,0.3055823047793756,252
TMO,62092,2014,0.13067390464941472,252
TMO,62092,2015,0.13745631702226277,252
TMO,62092,2016,-0.0011692536833856988,252
TMO,62092,2017,0.3502658651274976,251
TMO,62092,2018,0.18214492442128788,251
TMO,62092,2019,0.45548902178144535,252
TMO,62092,2020,0.43711892193407403,253
TMO,62092,2021,0.43538570386544345,252
TMO,62092,2022,-0.17285795880442684,251
TMO,62092,2023,-0.03357523849543105,250
TMO,62092,2024,-0.01721520007345775,252
TXN,15579,2014,0.2509654868543146,252
TXN,15579,2015,0.05182186728142713,252
TXN,15579,2016,0.3671947118434588,252
TXN,15579,2017,0.4677323088445409,251
TXN,15579,2018,-0.0719436287093953,251
TXN,15579,2019,0.39560403380983056,252
TXN,15579,2020,0.3173923067016033,253
TXN,15579,2021,0.1753926254596018,252
TXN,15579,2022,-0.09903587069143367,251
TXN,15579,2023,0.06390741260897172,250
TXN,15579,2024,0.1313913026794841,252
UNH,92655,2014,0.36457280863641195,252
UNH,92655,2015,0.18257922306480093,252
UNH,92655,2016,0.38406193506194275,252
UNH,92655,2017,0.39825815634208306,251
UNH,92655,2018,0.1452039686472129,251
UNH,92655,2019,0.19987731672165263,252
UNH,92655,2020,0.2120426296833763,253
UNH,92655,2021,0.45213324235903435,252
UNH,92655,2022,0.06947156704407857,251
UNH,92655,2023,0.007948263625879288,250
UNH,92655,2024,-0.02411688332188376,252
UNP,48725,2014,0.4448955816937272,252
UNP,48725,2015,-0.3285324046673809,252
UNP,48725,2016,0.3597628825189367,252
UNP,48725,2017,0.32243505910762793,251
UNP,48725,2018,0.052732522430894456,251
UNP,48725,2019,0.3367360249501528,252
UNP,48725,2020,0.17664080067054036,253
UNP,48725,2021,0.23328444739004084,252
UNP,48725,2022,-0.1593399305686,251
UNP,48725,2023,0.21521246664387492,250
UNP,48725,2024,-0.05128609226341434,252
UPS,87447,2014,0.08666690231398998,252
UPS,87447,2015,-0.10926922890125715,252
UPS,87447,2016,0.22707623176880673,252
UPS,87447,2017,0.07142399866705777,251
UPS,87447,2018,-0.15480459940748065,251
UPS,87447,2019,0.24206452941792994,252
UPS,87447,2020,0.4869894476264379,253
UPS,87447,2021,0.300185517458572,252
UPS,87447,2022,-0.16265914868220294,251
UPS,87447,2023,-0.059424108115185635,250
UPS,87447,2024,-0.1598373923255894,252
USB,66157,2014,0.1376877682563841,252
USB,66157,2015,-0.02811276334750078,252
USB,66157,2016,0.23400383019278584,252
USB,66157,2017,0.06612514252056792,251
USB,66157,2018,-0.12362268521129387,251
USB,66157,2019,0.33605721970558244,252
USB,66157,2020,-0.1788336840496624,253
USB,66157,2021,0.24312504700045595,252
USB,66157,2022,-0.19119396579453654,251
USB,66157,2023,0.04732233197444277,250
USB,66157,2024,0.15554453316516828,252
WFC,38703,2014,0.24091508972171155,252
WFC,38703,2015,0.018463015880879334,252
WFC,38703,2016,0.04666088055956773,252
WFC,38703,2017,0.13194260231397714,251
WFC,38703,2018,-0.21824335757199503,251
WFC,38703,2019,0.21405684487705343,252
WFC,38703,2020,-0.41662401221071327,253
WFC,38703,2021,0.6112170851033274,252
WFC,38703,2022,-0.11883714983641992,251
WFC,38703,2023,0.22933805440634894,250
WFC,38703,2024,0.4647878083740848,252
